SampleID,plot,block,rep,block.loc,plot.ed,var,treatment,name,loc,Number_of_plants_harvested,Total_plant_biomass_Kg,Yield_cwt_per_acre,hundred_seed_weght_g,Seed_tot_weight_g,Seed_moisture_percent,PD_norm,SR_norm,SHA_norm,EVE_norm,SIM_norm,INSIM_norm,PD,SR,SHA,EVE,SIM,INSIM,PD_rare,SR_rare,SHA_rare,EVE_rare,SIM_rare,INSIM_rare
1001,1001,1,1,1LP,1,R99,shelter,R99_Rainout,LP,35,1.95,5.81,20.1,160.7,22.95,4.586254453,42,2.678092816,0.716514055,0.896642709,9.675176148,4.586254453,42,2.678092816,0.716514055,0.896642709,9.675176148,4.586254453,42,2.646529078,0.708069291,0.893786955,9.415039367
1002,1002,1,1,1LP,1,R99,open,R99,LP,35,2.1,11.68,21.6,319.6,22.06,5.780119419,55,2.822516729,0.704337922,0.906713691,10.71968663,5.780119419,55,2.822516729,0.704337922,0.906713691,10.71968663,5.397008385,51,2.792731116,0.710288649,0.903732248,10.3876945
1003,1003,1,1,1LP,2,B18504,shelter,B18504_Rainout,LP,46,1.5,29.15,22.4,762.8,18.5,4.32996745,37,2.624694542,0.726877377,0.894322923,9.462790109,4.32996745,37,2.624694542,0.726877377,0.894322923,9.462790109,4.32996745,37,2.632088951,0.728925169,0.896716462,9.682085048
1004,1004,1,1,1LP,2,B18504,open,B18504,LP,54,1.68,27.09,21.8,715,19.2,11.12613649,131,3.323541599,0.681724529,0.931485511,14.59545289,11.12613649,131,3.323541599,0.681724529,0.931485511,14.59545289,8.792182448,103,3.24919377,0.701053671,0.929109028,14.10616848
1005,1005,1,1,1LP,3,Cayenne,shelter,Cayenne_Rainout,LP,43,1.42,20.63,35.7,537.1,18.1,6.167601166,51,2.778681836,0.706715428,0.906506072,10.69588173,6.167601166,51,2.778681836,0.706715428,0.906506072,10.69588173,5.90753138,49,2.779261321,0.714128893,0.905410673,10.57201723
1006,1006,1,1,1LP,3,Cayenne,open,Cayenne,LP,55,1.62,27.41,34.5,715.4,18.3,4.500742588,35,2.565285158,0.721528557,0.88827548,8.950586701,4.500742588,35,2.565285158,0.721528557,0.88827548,8.950586701,4.059219983,34,2.53249481,0.718161059,0.883759141,8.60282699
1007,1007,1,1,1LP,4,Rosetta,shelter,Rosetta_Rainout,LP,33,1.8,21.39,36.2,558.3,18.3,4.719384102,49,2.623865059,0.674199952,0.888379867,8.958957292,4.719384102,49,2.623865059,0.674199952,0.888379867,8.958957292,4.614405979,45,2.635265276,0.692277102,0.890144228,9.102844419
1008,1008,1,1,1LP,4,Rosetta,open,Rosetta,LP,36,2.04,20.65,35.2,541.6,18.7,5.183619328,40,2.689508411,0.72908547,0.899842904,9.984315076,5.183619328,40,2.689508411,0.72908547,0.899842904,9.984315076,5.183619328,40,2.704320083,0.733100693,0.899585551,9.958726199
2001,2001,2,2,2LP,1,Rosetta,shelter,Rosetta_Rainout,LP,35,1.9,19.99,36,524.9,18.8,4.476760261,34,2.624651329,0.744294666,0.897690061,9.774221462,4.476760261,34,2.624651329,0.744294666,0.897690061,9.774221462,4.038517546,33,2.632850761,0.752994442,0.899492715,9.949527531
2002,2002,2,2,2LP,1,Rosetta,open,Rosetta,LP,37,2.04,19.75,35.6,521.3,19.2,5.543810364,55,2.724886045,0.679974916,0.894468909,9.475880395,5.543810364,55,2.724886045,0.679974916,0.894468909,9.475880395,4.99856025,52,2.719223641,0.68819436,0.894622483,9.489690325
2003,2003,2,2,2LP,2,Cayenne,shelter,Cayenne_Rainout,LP,45,1.22,13.64,35.1,355.5,18.2,4.58798728,44,2.774279313,0.733123755,0.909312811,11.02691586,4.58798728,44,2.774279313,0.733123755,0.909312811,11.02691586,4.525450382,41,2.783969696,0.749674342,0.910242591,11.14114151
2004,2004,2,2,2LP,2,Cayenne,open,Cayenne,LP,52,1.08,16.82,35,439.5,18.4,6.026614865,57,2.828191891,0.699519176,0.906189101,10.65974217,6.026614865,57,2.828191891,0.699519176,0.906189101,10.65974217,5.918864851,55,2.851367801,0.711537491,0.909741568,11.07929731
2005,2005,2,2,2LP,3,B18504,shelter,B18504_Rainout,LP,55,1.08,17.16,20.2,449.7,18.6,4.546651222,42,2.795174194,0.747838755,0.907489216,10.80955063,4.546651222,42,2.795174194,0.747838755,0.907489216,10.80955063,4.402203786,41,2.803616699,0.754964936,0.908481645,10.92676977
2006,2006,2,2,2LP,3,B18504,open,B18504,LP,49,1.34,20.06,20.1,529.4,19.2,8.021346069,81,3.612568692,0.822075433,0.954649796,22.05061765,8.021346069,81,3.612568692,0.822075433,0.954649796,22.05061765,7.814901698,78,3.591699696,0.824406643,0.954232349,21.8494937
2007,2007,2,2,2LP,4,R99,shelter,R99_Rainout,LP,28,1.3,7.45,18.9,208.3,23.77,4.462458485,33,2.573714904,0.736081607,0.892898623,9.336948102,4.462458485,33,2.573714904,0.736081607,0.892898623,9.336948102,4.462458485,33,2.578817399,0.737540919,0.893884212,9.423668442
2008,2008,2,2,2LP,4,R99,open,R99,LP,33,1.08,10.02,18,274.7,22.25,6.44195446,63,2.789124365,0.67319181,0.896135938,9.627969264,6.44195446,63,2.789124365,0.67319181,0.896135938,9.627969264,5.400666848,49,2.710873005,0.696556572,0.893879791,9.423275868
3001,3001,3,3,3LP,1,B18504,shelter,B18504_Rainout,LP,45,1.08,15.49,20.8,404.7,18.4,6.722099842,73,3.304267149,0.770142964,0.934441754,15.25361131,6.722099842,73,3.304267149,0.770142964,0.934441754,15.25361131,6.472165188,67,3.249052821,0.772720652,0.931842546,14.67190963
3002,3002,3,3,3LP,1,B18504,open,B18504,LP,49,1.52,19.54,20.6,515.1,19.1,4.728485443,46,2.647949096,0.691615856,0.898898252,9.891025793,4.728485443,46,2.647949096,0.691615856,0.898898252,9.891025793,4.614114241,41,2.634049739,0.70930352,0.896359852,9.648770466
3003,3003,3,3,3LP,2,R99,shelter,R99_Rainout,LP,30,2.2,8.16,19.7,226.3,23.15,5.47121224,57,2.692613127,0.665985403,0.894328109,9.463254516,5.47121224,57,2.692613127,0.665985403,0.894328109,9.463254516,4.715644778,48,2.679601788,0.69218875,0.892960268,9.342325351
3004,3004,3,3,3LP,2,R99,open,R99,LP,34,1.68,13.16,20.4,349.9,19.8,7.044092537,61,2.811390046,0.683891099,0.904690304,10.49211198,7.044092537,61,2.811390046,0.683891099,0.904690304,10.49211198,5.659933867,52,2.811659705,0.711588529,0.906427453,10.68689517
3005,3005,3,3,3LP,3,Rosetta,shelter,Rosetta_Rainout,LP,26,1.2,14.93,34.6,390.6,18.5,5.349222132,49,3.016352869,0.77504937,0.924122218,13.17908852,5.349222132,49,3.016352869,0.77504937,0.924122218,13.17908852,5.313843085,47,3.007722573,0.781196693,0.922339332,12.87653103
3006,3006,3,3,3LP,3,Rosetta,open,Rosetta,LP,30,1.34,15.92,34.2,417.7,18.7,4.535207825,36,2.614734712,0.729655614,0.895615374,9.579954768,4.535207825,36,2.614734712,0.729655614,0.895615374,9.579954768,4.535207825,36,2.622177287,0.731732504,0.896664886,9.677252601
3007,3007,3,3,3LP,4,Cayenne,shelter,Cayenne_Rainout,LP,45,1.22,19.1,34.6,494.4,17.6,4.702904998,45,2.7490683,0.72217285,0.900693343,10.06981835,4.702904998,45,2.7490683,0.72217285,0.900693343,10.06981835,4.633195343,43,2.692132153,0.715764136,0.896520474,9.663747374
3008,3008,3,3,3LP,4,Cayenne,open,Cayenne,LP,50,0.92,10.23,34.6,270.3,19.3,4.663843623,35,2.625691352,0.738518791,0.89931093,9.931564521,4.663843623,35,2.625691352,0.738518791,0.89931093,9.931564521,4.650758461,34,2.60006055,0.73732125,0.898151743,9.818528405
4001,4001,4,4,4LP,1,Cayenne,shelter,Cayenne_Rainout,LP,43,1.24,20.83,36,541.8,18,2.381293617,17,2.226562754,0.785878959,0.868068116,7.579668906,2.381293617,17,2.226562754,0.785878959,0.868068116,7.579668906,NA,NA,NA,NA,NA,NA
4002,4002,4,4,4LP,1,Cayenne,open,Cayenne,LP,52,1.26,18.16,34.1,475.2,18.5,4.702263408,41,2.668297698,0.718525896,0.899420258,9.942360012,4.702263408,41,2.668297698,0.718525896,0.899420258,9.942360012,4.611983104,39,2.671729331,0.729271018,0.899423456,9.942676092
4003,4003,4,4,4LP,2,Rosetta,shelter,Rosetta_Rainout,LP,33,2.16,21.19,34.9,553.7,18.4,9.111561428,103,3.206275471,0.691793518,0.929376143,14.15952115,9.111561428,103,3.206275471,0.691793518,0.929376143,14.15952115,6.891958908,75,3.138386439,0.726901003,0.928658108,14.01700972
4004,4004,4,4,4LP,2,Rosetta,open,Rosetta,LP,39,1.82,18.78,34.2,492.6,18.7,5.024893447,45,2.714944978,0.713208745,0.902126936,10.21731582,5.024893447,45,2.714944978,0.713208745,0.902126936,10.21731582,4.671726811,41,2.744033873,0.738920323,0.90804104,10.87441611
4005,4005,4,4,4LP,3,R99,shelter,R99_Rainout,LP,32,1.64,10.06,18.3,273.7,21.6,5.225297248,45,2.704830161,0.71055161,0.898697161,9.871391625,5.225297248,45,2.704830161,0.71055161,0.898697161,9.871391625,5.019213562,44,2.663535983,0.703859014,0.895651053,9.583230362
4006,4006,4,4,4LP,3,R99,open,R99,LP,32,1.74,11.43,18.3,305.5,20.2,7.636519348,97,3.63909362,0.795480553,0.952610195,21.10158496,7.636519348,97,3.63909362,0.795480553,0.952610195,21.10158496,6.624803041,84,3.552838243,0.801847245,0.948243659,19.32130401
4007,4007,4,4,4LP,4,B18504,shelter,B18504_Rainout,LP,57,1.12,13.23,19.1,344.8,18.2,6.968300792,64,2.824958454,0.679258925,0.903488126,10.36141937,6.968300792,64,2.824958454,0.679258925,0.903488126,10.36141937,6.335237575,60,2.85143628,0.696432906,0.90509385,10.53672492
4008,4008,4,4,4LP,4,B18504,open,B18504,LP,55,1.62,14.64,20.7,386.3,19.2,6.23996813,58,2.966092311,0.730484901,0.917447929,12.11356644,6.23996813,58,2.966092311,0.730484901,0.917447929,12.11356644,6.222856384,57,2.988879038,0.739263205,0.918065907,12.20493152
101,101,1,1,1UP,1,B18504,shelter,B18504_Rainout,UP,36,NA,17.15,18.6,591.4,36.6,6.009256814,50,2.745846851,0.701899464,0.903098109,10.31971605,6.009256814,50,2.745846851,0.701899464,0.903098109,10.31971605,5.822676322,47,2.698060634,0.700768104,0.89983901,9.983926851
102,102,1,1,1UP,1,B18504,open,B18504,UP,45,NA,18.98,21.3,683.9,39.3,9.154306126,84,3.131254148,0.706699078,0.922237199,12.85961915,9.154306126,84,3.131254148,0.706699078,0.922237199,12.85961915,8.592976415,78,3.112660558,0.714452281,0.923093813,13.00285498
103,103,1,1,1UP,2,Rosetta,shelter,Rosetta_Rainout,UP,22,0.99,16.86,39.6,460.3,19.9,3.918382975,35,2.6488332,0.745027815,0.901751393,10.17826137,3.918382975,35,2.6488332,0.745027815,0.901751393,10.17826137,3.918382975,35,2.670423965,0.751100573,0.903372691,10.34904114
104,104,1,1,1UP,2,Rosetta,open,Rosetta,UP,22,1.12,18.52,30.8,513.8,21.2,3.220121795,26,2.54946543,0.782501501,0.894007411,9.434621872,3.220121795,26,2.54946543,0.782501501,0.894007411,9.434621872,3.220121795,26,2.551260717,0.783052524,0.894590064,9.486771747
105,105,1,1,1UP,3,R99,shelter,R99_Rainout,UP,12,0.48,7.34,21.5,206.7,22.4,5.985204219,59,2.795347682,0.68554801,0.903926377,10.40868419,5.985204219,59,2.795347682,0.68554801,0.903926377,10.40868419,5.822192005,55,2.766990723,0.690481823,0.899457349,9.946027745
106,106,1,1,1UP,3,R99,open,R99,UP,12,0.53,9.66,25.3,272.1,22.4,4.623405579,40,2.693479675,0.73016202,0.898842559,9.885580193,4.623405579,40,2.693479675,0.73016202,0.898842559,9.885580193,4.553660729,38,2.709143817,0.744764165,0.900033524,10.00335355
107,107,1,1,1UP,4,Cayenne,shelter,Cayenne_Rainout,UP,39,0.92,14.86,33.7,402.7,19.3,6.152715229,49,2.743878661,0.705037348,0.901490265,10.15128101,6.152715229,49,2.743878661,0.705037348,0.901490265,10.15128101,5.83008983,46,2.745950373,0.717212737,0.902459062,10.2521056
108,108,1,1,1UP,4,Cayenne,open,Cayenne,UP,56,1.21,23.74,35.3,652.9,20.5,3.898076614,34,2.573033116,0.729656851,0.896467141,9.65876933,3.898076614,34,2.573033116,0.729656851,0.896467141,9.65876933,3.695856064,33,2.576783399,0.736959195,0.898344784,9.837173568
201,201,2,2,2UP,1,B18504,shelter,B18504_Rainout,UP,43,1.37,21.71,23.9,641.5,26,3.480359729,25,2.505367619,0.778336213,0.892268136,9.282304807,3.480359729,25,2.505367619,0.778336213,0.892268136,9.282304807,3.480359729,25,2.517824697,0.782206222,0.893324246,9.374201391
202,202,2,2,2UP,1,B18504,open,B18504,UP,35,1.51,29.36,25.4,830.4,22.7,2.435853604,17,2.271829885,0.80185627,0.858584244,7.071347814,2.435853604,17,2.271829885,0.80185627,0.858584244,7.071347814,2.435853604,17,2.271829885,0.80185627,0.858584244,7.071347814
203,203,2,2,2UP,2,Rosetta,shelter,Rosetta_Rainout,UP,25,1.41,28.05,38.3,766.8,20,4.76054297,41,2.693238897,0.725242125,0.899905886,9.990597444,4.76054297,41,2.693238897,0.725242125,0.899905886,9.990597444,4.76054297,41,2.705444981,0.72852901,0.901675109,10.17036471
204,204,2,2,2UP,2,Rosetta,open,Rosetta,UP,24,1.61,30.83,40.1,853.3,21,4.982684575,40,2.667720548,0.723179107,0.898299858,9.832827984,4.982684575,40,2.667720548,0.723179107,0.898299858,9.832827984,4.919671558,39,2.669582096,0.728684912,0.899363039,9.936707007
205,205,2,2,2UP,3,R99,shelter,R99_Rainout,UP,13,0.88,14.84,23.6,415.4,21.9,5.118808256,48,2.755462134,0.711784825,0.903150166,10.32526288,5.118808256,48,2.755462134,0.711784825,0.903150166,10.32526288,5.009394411,45,2.724028178,0.715594877,0.901037042,10.10479098
206,206,2,2,2UP,3,R99,open,R99,UP,18,1.02,14.92,22.8,413.6,21.1,7.134403676,67,2.897570336,0.689127743,0.913182639,11.51843346,7.134403676,67,2.897570336,0.689127743,0.913182639,11.51843346,6.188911196,59,2.90589706,0.71265981,0.916944501,12.04014194
207,207,2,2,2UP,4,Cayenne,shelter,Cayenne_Rainout,UP,39,1.22,19.39,36.7,530.1,20,5.588019423,52,2.75091781,0.696215674,0.903910946,10.40701264,5.588019423,52,2.75091781,0.696215674,0.903910946,10.40701264,5.29019389,47,2.707790106,0.703295143,0.901932988,10.19710892
208,208,2,2,2UP,4,Cayenne,open,Cayenne,UP,44,0.87,16.42,37.6,447.1,19.7,5.886362941,82,1.414155111,0.320908829,0.610149874,2.565088311,5.886362941,82,1.414155111,0.320908829,0.610149874,2.565088311,2.945809562,36,1.395830307,0.389513863,0.620367294,2.634124992
301,301,3,3,3UP,1,B18504,shelter,B18504_Rainout,UP,33,1.68,21.13,25.5,628.5,26.5,5.126039732,48,2.745780444,0.709283872,0.906976758,10.75000156,5.126039732,48,2.745780444,0.709283872,0.906976758,10.75000156,5.126039732,48,2.702211176,0.698029156,0.902694837,10.27694696
302,302,3,3,3UP,1,B18504,open,B18504,UP,47,1.58,25.21,26.4,740.9,25.6,5.508435505,46,2.73103717,0.713317568,0.902263954,10.23163967,5.508435505,46,2.73103717,0.713317568,0.902263954,10.23163967,5.129934015,43,2.709411965,0.720358365,0.900322349,10.03233914
303,303,3,3,3UP,2,Cayenne,shelter,Cayenne_Rainout,UP,41,1.16,21.81,40.2,596.2,20,5.935932436,55,2.813327397,0.702044793,0.903923497,10.40837215,5.935932436,55,2.813327397,0.702044793,0.903923497,10.40837215,4.993315126,51,2.827273557,0.719073993,0.907973254,10.86640619
304,304,3,3,3UP,2,Cayenne,open,Cayenne,UP,58,1.54,32.97,40,901.2,20,4.092025457,33,2.579127323,0.737629557,0.890582871,9.139336859,4.092025457,33,2.579127323,0.737629557,0.890582871,9.139336859,4.092025457,33,2.57983086,0.737830768,0.889566579,9.055229746
305,305,3,3,3UP,3,R99,shelter,R99_Rainout,UP,14,0.72,11.07,24.2,311,22.2,5.008086551,41,2.634292404,0.709368865,0.89694987,9.704014919,5.008086551,41,2.634292404,0.709368865,0.89694987,9.704014919,4.915189251,38,2.631117021,0.723314007,0.899172945,9.917972889
306,306,3,3,3UP,3,R99,open,R99,UP,19,0.88,15.48,25.2,440.8,23.2,7.395768599,72,3.069354306,0.717697903,0.908707819,10.95384059,7.395768599,72,3.069354306,0.717697903,0.908707819,10.95384059,7.326011314,70,3.04707578,0.717212944,0.908695316,10.9523406
307,307,3,3,3UP,4,Rosetta,shelter,Rosetta_Rainout,UP,24,0.87,15.48,39.8,427.4,20.8,4.820758582,34,2.610720862,0.740344285,0.894985822,9.522523739,4.820758582,34,2.610720862,0.740344285,0.894985822,9.522523739,4.379235977,33,2.641060228,0.755342347,0.897587357,9.764419376
308,308,3,3,3UP,4,Rosetta,open,Rosetta,UP,38,1.54,30.28,42.2,847.7,21.9,3.044762137,27,2.419323295,0.734054322,0.872995305,7.873724696,3.044762137,27,2.419323295,0.734054322,0.872995305,7.873724696,3.029412308,26,2.405939125,0.738449305,0.871768498,7.798395762
401,401,4,4,4UP,1,Rosetta,shelter,Rosetta_Rainout,UP,32,1.99,35.47,43.6,1028.7,24.6,5.423588047,45,2.676451099,0.703096507,0.895535601,9.572639183,5.423588047,45,2.676451099,0.703096507,0.895535601,9.572639183,5.24728061,42,2.648292572,0.708541108,0.894049255,9.438347972
403,403,4,4,4UP,2,R99,shelter,R99_Rainout,UP,14,1.18,15.48,24.9,453.8,25.4,4.249791306,34,2.62632385,0.744768957,0.89693184,9.702317379,4.249791306,34,2.62632385,0.744768957,0.89693184,9.702317379,4.249791306,34,2.611356311,0.740524485,0.894663744,9.493407477
404,404,4,4,4UP,2,R99,open,R99,UP,4,0.36,3.3,25.2,92.9,22.4,3.94494016,35,2.591736454,0.728968418,0.892839485,9.33179536,3.94494016,35,2.591736454,0.728968418,0.892839485,9.33179536,3.834357207,31,2.588796628,0.753874861,0.89280112,9.328455665
405,405,4,4,4UP,3,Cayenne,shelter,Cayenne_Rainout,UP,35,0.97,17.23,36.6,473.8,20.5,5.287333935,45,2.713067805,0.712715617,0.900700343,10.07052823,5.287333935,45,2.713067805,0.712715617,0.900700343,10.07052823,5.264532366,43,2.703257142,0.718721966,0.899766804,9.976734613
406,406,4,4,4UP,3,Cayenne,open,Cayenne,UP,50,1.53,30.06,42.1,819.7,19.8,9.475271801,141,2.332833981,0.47139769,0.704931351,3.389041852,9.475271801,141,2.332833981,0.47139769,0.704931351,3.389041852,4.721473906,67,2.276368914,0.541387711,0.707660115,3.420675906
407,407,4,4,4UP,4,B18504,shelter,B18504_Rainout,UP,44,1.68,25.72,24.7,708.2,20.6,4.584160705,40,2.631413445,0.713336794,0.893783914,9.414769831,4.584160705,40,2.631413445,0.713336794,0.893783914,9.414769831,4.090175761,37,2.604719366,0.721345494,0.890167806,9.104798513
408,408,4,4,4UP,4,B18504,open,B18504,UP,58,1.82,28.24,26.3,790.7,21.9,7.06333046,68,2.87465617,0.681277621,0.908401309,10.91718662,7.06333046,68,2.87465617,0.681277621,0.908401309,10.91718662,6.374534775,58,2.848923632,0.701628769,0.909118238,11.00330774