SampleID,plot,block,rep,treatment,var,name,loc,Number_of_plants_harvested,Total_plant_biomass_Kg,Yield_cwt_per_acre,hundred_seed_weght_g,Seed_tot_weight_g,Seed_moisture_percent
1001,1001,1,1,shelter,R99,R99_Rainout,LP,35,1.95,5.81,20.1,160.7,22.95
1002,1002,1,1,open,R99,R99,LP,35,2.1,11.68,21.6,319.6,22.06
1003,1003,1,1,shelter,B18504,B18504_Rainout,LP,46,1.5,29.15,22.4,762.8,18.5
1004,1004,1,1,open,B18504,B18504,LP,54,1.68,27.09,21.8,715,19.2
1005,1005,1,1,shelter,Cayenne,Cayenne_Rainout,LP,43,1.42,20.63,35.7,537.1,18.1
1006,1006,1,1,open,Cayenne,Cayenne,LP,55,1.62,27.41,34.5,715.4,18.3
1007,1007,1,1,shelter,Rosetta,Rosetta_Rainout,LP,33,1.8,21.39,36.2,558.3,18.3
1008,1008,1,1,open,Rosetta,Rosetta,LP,36,2.04,20.65,35.2,541.6,18.7
2001,2001,2,2,shelter,Rosetta,Rosetta_Rainout,LP,35,1.9,19.99,36,524.9,18.8
2002,2002,2,2,open,Rosetta,Rosetta,LP,37,2.04,19.75,35.6,521.3,19.2
2003,2003,2,2,shelter,Cayenne,Cayenne_Rainout,LP,45,1.22,13.64,35.1,355.5,18.2
2004,2004,2,2,open,Cayenne,Cayenne,LP,52,1.08,16.82,35,439.5,18.4
2005,2005,2,2,shelter,B18504,B18504_Rainout,LP,55,1.08,17.16,20.2,449.7,18.6
2006,2006,2,2,open,B18504,B18504,LP,49,1.34,20.06,20.1,529.4,19.2
2007,2007,2,2,shelter,R99,R99_Rainout,LP,28,1.3,7.45,18.9,208.3,23.77
2008,2008,2,2,open,R99,R99,LP,33,1.08,10.02,18,274.7,22.25
3001,3001,3,3,shelter,B18504,B18504_Rainout,LP,45,1.08,15.49,20.8,404.7,18.4
3002,3002,3,3,open,B18504,B18504,LP,49,1.52,19.54,20.6,515.1,19.1
3003,3003,3,3,shelter,R99,R99_Rainout,LP,30,2.2,8.16,19.7,226.3,23.15
3004,3004,3,3,open,R99,R99,LP,34,1.68,13.16,20.4,349.9,19.8
3005,3005,3,3,shelter,Rosetta,Rosetta_Rainout,LP,26,1.2,14.93,34.6,390.6,18.5
3006,3006,3,3,open,Rosetta,Rosetta,LP,30,1.34,15.92,34.2,417.7,18.7
3007,3007,3,3,shelter,Cayenne,Cayenne_Rainout,LP,45,1.22,19.1,34.6,494.4,17.6
3008,3008,3,3,open,Cayenne,Cayenne,LP,50,0.92,10.23,34.6,270.3,19.3
4001,4001,4,4,shelter,Cayenne,Cayenne_Rainout,LP,43,1.24,20.83,36,541.8,18
4002,4002,4,4,open,Cayenne,Cayenne,LP,52,1.26,18.16,34.1,475.2,18.5
4003,4003,4,4,shelter,Rosetta,Rosetta_Rainout,LP,33,2.16,21.19,34.9,553.7,18.4
4004,4004,4,4,open,Rosetta,Rosetta,LP,39,1.82,18.78,34.2,492.6,18.7
4005,4005,4,4,shelter,R99,R99_Rainout,LP,32,1.64,10.06,18.3,273.7,21.6
4006,4006,4,4,open,R99,R99,LP,32,1.74,11.43,18.3,305.5,20.2
4007,4007,4,4,shelter,B18504,B18504_Rainout,LP,57,1.12,13.23,19.1,344.8,18.2
4008,4008,4,4,open,B18504,B18504,LP,55,1.62,14.64,20.7,386.3,19.2
101,101,1,1,shelter,B18504,B18504_Rainout,UP,36,NA,17.15,18.6,591.4,36.6
102,102,1,1,open,B18504,B18504,UP,45,NA,18.98,21.3,683.9,39.3
103,103,1,1,shelter,Rosetta,Rosetta_Rainout,UP,22,0.99,16.86,39.6,460.3,19.9
104,104,1,1,open,Rosetta,Rosetta,UP,22,1.12,18.52,30.8,513.8,21.2
105,105,1,1,shelter,R99,R99_Rainout,UP,12,0.48,7.34,21.5,206.7,22.4
106,106,1,1,open,R99,R99,UP,12,0.53,9.66,25.3,272.1,22.4
107,107,1,1,shelter,Cayenne,Cayenne_Rainout,UP,39,0.92,14.86,33.7,402.7,19.3
108,108,1,1,open,Cayenne,Cayenne,UP,56,1.21,23.74,35.3,652.9,20.5
201,201,2,2,shelter,B18504,B18504_Rainout,UP,43,1.37,21.71,23.9,641.5,26
202,202,2,2,open,B18504,B18504,UP,35,1.51,29.36,25.4,830.4,22.7
203,203,2,2,shelter,Rosetta,Rosetta_Rainout,UP,25,1.41,28.05,38.3,766.8,20
204,204,2,2,open,Rosetta,Rosetta,UP,24,1.61,30.83,40.1,853.3,21
205,205,2,2,shelter,R99,R99_Rainout,UP,13,0.88,14.84,23.6,415.4,21.9
206,206,2,2,open,R99,R99,UP,18,1.02,14.92,22.8,413.6,21.1
207,207,2,2,shelter,Cayenne,Cayenne_Rainout,UP,39,1.22,19.39,36.7,530.1,20
208,208,2,2,open,Cayenne,Cayenne,UP,44,0.87,16.42,37.6,447.1,19.7
301,301,3,3,shelter,B18504,B18504_Rainout,UP,33,1.68,21.13,25.5,628.5,26.5
302,302,3,3,open,B18504,B18504,UP,47,1.58,25.21,26.4,740.9,25.6
303,303,3,3,shelter,Cayenne,Cayenne_Rainout,UP,41,1.16,21.81,40.2,596.2,20
304,304,3,3,open,Cayenne,Cayenne,UP,58,1.54,32.97,40,901.2,20
305,305,3,3,shelter,R99,R99_Rainout,UP,14,0.72,11.07,24.2,311,22.2
306,306,3,3,open,R99,R99,UP,19,0.88,15.48,25.2,440.8,23.2
307,307,3,3,shelter,Rosetta,Rosetta_Rainout,UP,24,0.87,15.48,39.8,427.4,20.8
308,308,3,3,open,Rosetta,Rosetta,UP,38,1.54,30.28,42.2,847.7,21.9
401,401,4,4,shelter,Rosetta,Rosetta_Rainout,UP,32,1.99,35.47,43.6,1028.7,24.6
402,402,4,4,open,Rosetta,Rosetta,UP,30,1.73,33.35,44.6,994.8,26.7
403,403,4,4,shelter,R99,R99_Rainout,UP,14,1.18,15.48,24.9,453.8,25.4
404,404,4,4,open,R99,R99,UP,4,0.36,3.3,25.2,92.9,22.4
405,405,4,4,shelter,Cayenne,Cayenne_Rainout,UP,35,0.97,17.23,36.6,473.8,20.5
406,406,4,4,open,Cayenne,Cayenne,UP,50,1.53,30.06,42.1,819.7,19.8
407,407,4,4,shelter,B18504,B18504_Rainout,UP,44,1.68,25.72,24.7,708.2,20.6
408,408,4,4,open,B18504,B18504,UP,58,1.82,28.24,26.3,790.7,21.9