sample_ID,well,sample_id,sample_name,PF_reads
1,A1,AFB_20210429_01,101,117178
2,B1,AFB_20210429_02,102,138038
3,C1,AFB_20210429_03,103,136091
4,D1,AFB_20210429_04,104,101441
5,E1,AFB_20210429_05,105,87081
6,F1,AFB_20210429_06,106,164493
7,G1,AFB_20210429_07,107,124908
8,H1,AFB_20210429_08,108,151779
9,A2,AFB_20210429_09,201,114708
10,B2,AFB_20210429_10,202,99037
11,C2,AFB_20210429_11,203,186210
12,D2,AFB_20210429_12,204,113590
13,E2,AFB_20210429_13,205,105901
14,F2,AFB_20210429_14,206,153728
15,G2,AFB_20210429_15,207,156776
16,H2,AFB_20210429_16,208,104440
17,A3,AFB_20210429_17,301,102783
18,B3,AFB_20210429_18,302,83825
19,C3,AFB_20210429_19,303,112186
20,D3,AFB_20210429_20,304,118474
21,E3,AFB_20210429_21,305,98552
22,F3,AFB_20210429_22,306,215791
23,G3,AFB_20210429_23,307,152187
24,H3,AFB_20210429_24,308,128574
25,A4,AFB_20210429_25,401,111485
26,B4,AFB_20210429_26,402,123589
27,C4,AFB_20210429_27,403,119580
28,D4,AFB_20210429_28,404,116196
29,E4,AFB_20210429_29,405,89685
30,F4,AFB_20210429_30,406,144090
31,G4,AFB_20210429_31,407,91421
32,H4,AFB_20210429_32,408,166951
33,A5,AFB_20210429_33,1001,111024
34,B5,AFB_20210429_34,1002,87874
35,C5,AFB_20210429_35,1003,102800
36,D5,AFB_20210429_36,1004,96708
37,E5,AFB_20210429_37,1005,102045
38,F5,AFB_20210429_38,1006,119094
39,G5,AFB_20210429_39,1007,103664
40,H5,AFB_20210429_40,1008,134852
41,A6,AFB_20210429_41,2001,110137
42,B6,AFB_20210429_42,2002,112699
43,C6,AFB_20210429_43,2003,123796
44,D6,AFB_20210429_44,2004,109600
45,E6,AFB_20210429_45,2005,101176
46,F6,AFB_20210429_46,2006,166373
47,G6,AFB_20210429_47,2007,123366
48,H6,AFB_20210429_48,2008,134906
49,A7,AFB_20210429_49,3001,103668
50,B7,AFB_20210429_50,3002,89206
51,C7,AFB_20210429_51,3003,114230
52,D7,AFB_20210429_52,3004,99253
53,E7,AFB_20210429_53,3005,107270
54,F7,AFB_20210429_54,3006,130209
55,G7,AFB_20210429_55,3007,111308
56,H7,AFB_20210429_56,3008,142303
57,A8,AFB_20210429_57,4001,106248
58,B8,AFB_20210429_58,4002,100552
59,C8,AFB_20210429_59,4003,105519
60,D8,AFB_20210429_60,4004,104386
61,E8,AFB_20210429_61,4005,118859
62,F8,AFB_20210429_62,4006,199940
63,G8,AFB_20210429_63,4007,127633
64,H8,AFB_20210429_64,4008,116239
65,A9,AFB_20210429_65,Mock1,107583
66,B9,AFB_20210429_66,Mock2,104048
67,C9,AFB_20210429_67,Mock3,100712
68,D9,AFB_20210429_68,Mock4,100808
69,E9,AFB_20210429_69,Mock5,114310
70,F9,AFB_20210429_70,Mock6,156035
71,G9,AFB_20210429_71,Mock7,135533
72,H9,AFB_20210429_72,NC1,4106
73,A10,AFB_20210429_73,NC2,1157
74,B10,AFB_20210429_74,NC3,3774
75,C10,AFB_20210429_75,NC4,370
76,D10,AFB_20210429_76,NC5,348
77,E10,AFB_20210429_77,NC6,14717
78,F10,AFB_20210429_78,NC7,36508
79,G12,ZymoMockDNA,RTSF_Zymo,149091
80,H12,RTSF_NTC,RTSF_NC,122