"","OTUID","Occ.unfil","relabund.unfil","meanRelAbund","Domain","Phylum","Class","Order","Family","Genus","Species","Family.ed","Genus.ed"
"165","GAOK01049512.6271.8188",1,50.5966897278129,0.640464426934341,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Cercis gigantea","Cercis gigantea","Cercis gigantea","Chloroplast","Chloroplast"
"353","MAMN01000047.249174.251307",0.987341772151899,11.6377360846358,0.14731311499539,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA,"Mitochondria","Mitochondria"
"175","GDAX01048398.486.2474",0.962025316455696,0.794121974033361,0.0100521768864982,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA,NA,"Chloroplast","Chloroplast"
"53","CCPS01000022.154.1916",0.949367088607595,2.97837826039283,0.037700990637884,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","Escherichia coli","Enterobacteriaceae","Escherichia-Shigella"
"212","HO793511.1.1233",0.924050632911392,0.427747768608604,0.0054145287165646,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA,NA,"Chloroplast","Chloroplast"
"44","BABK02029359.1608.3968",0.911392405063291,0.579979574203096,0.00734151359750754,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA,"Mitochondria","Mitochondria"
"172","GCVR01032299.115.1608",0.89873417721519,0.239691791082399,0.0030340733048405,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA,NA,"Chloroplast","Chloroplast"
"173","GDAH01000844.40.1969",0.886075949367089,0.32617658155496,0.00412881748803747,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA,"Mitochondria","Mitochondria"
"265","KC554503.1.1517",0.886075949367089,3.18209929092723,0.0402797378598383,"Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA,"Streptomycetaceae","Streptomyces"
"189","GQ495441.1.1492",0.873417721518987,0.0669367484002798,0.00084730061266177,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA,NA,"Chloroplast","Chloroplast"
"211","HO777920.18.1354",0.848101265822785,0.026922410553634,0.000340790007008025,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Phaseolus acutifolius (tepary bean)","Phaseolus acutifolius (tepary bean)","Phaseolus acutifolius (tepary bean)","Chloroplast","Chloroplast"
"176","GEFP01046751.99.1466",0.822784810126582,0.0106826943291135,0.000135223978849538,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Arachis hypogaea (peanut)","Arachis hypogaea (peanut)","Mitochondria","Mitochondria"
"180","GEUY01004424.1.1233",0.822784810126582,0.00654982525652158,8.29091804622985e-05,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA,NA,"Chloroplast","Chloroplast"
"171","GCKC01172251.105.1539",0.810126582278481,0.012116085178726,0.000153368166819316,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Gleditsia sinensis","Gleditsia sinensis","Mitochondria","Mitochondria"
"332","KY646001.1.1573",0.810126582278481,1.61108400841494,0.0203934684609486,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,"Bacillaceae","Bacillus"
"174","GDAH01000892.378.1918",0.79746835443038,0.00409277971741109,5.18073381950771e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA,"Mitochondria","Mitochondria"
"313","KU310670.382095.384029",0.79746835443038,0.0100145454474565,0.00012676639806907,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA,"Mitochondria","Mitochondria"
"63","CP018779.372609.374112",0.784810126582278,0.963109035102203,0.0121912536088886,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ochrobactrum",NA,"Rhizobiaceae","Ochrobactrum"
"210","HO777250.1592.3082",0.784810126582278,0.00246407964554885,3.11908815892259e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Phaseolus acutifolius (tepary bean)","Phaseolus acutifolius (tepary bean)","Mitochondria","Mitochondria"
"34","AY357215.644.2502",0.746835443037975,0.00205469094975179,2.60087461993898e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA,"Mitochondria","Mitochondria"
"27","AMWY02006532.103.2040",0.69620253164557,0.00169574228430163,2.14650922063497e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA,"Mitochondria","Mitochondria"
"276","KF625186.1.1741",0.683544303797468,0.696099921544177,0.0088113914119516,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Raoultella","Raoultella ornithinolytica","Enterobacteriaceae","Raoultella"
"274","KF386162.398325.400260",0.645569620253165,0.00195653362030951,2.47662483583482e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA,"Mitochondria","Mitochondria"
"88","EF528273.1.1512",0.632911392405063,0.680386810338134,0.00861249127010296,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,"Bacillaceae","Bacillus"
"279","KF843326.1.1368",0.582278481012658,0.00103783944282784,1.31372081370613e-05,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","uncultured bacterium","uncultured bacterium","uncultured bacterium","Chloroplast","Chloroplast"
"80","EF101305.1.1542",0.518987341772152,0.843715819387322,0.0106799470808522,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Pseudomonadaceae","Pseudomonas"
