"","OTUID","Occ.bio.nc.unfil","Domain","Phyllum","Class","Order","Family","Genus","Species","Family.ed","Genus.ed"
"165","GAOK01049512.6271.8188",1,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Cercis gigantea","Cercis gigantea","Cercis gigantea","Chloroplast","Chloroplast"
"353","MAMN01000047.249174.251307",0.985915492957746,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA,"Mitochondria","Mitochondria"
"175","GDAX01048398.486.2474",0.957746478873239,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA,NA,"Chloroplast","Chloroplast"
"53","CCPS01000022.154.1916",0.943661971830986,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","Escherichia coli","Enterobacteriaceae","Escherichia-Shigella"
"172","GCVR01032299.115.1608",0.943661971830986,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA,NA,"Chloroplast","Chloroplast"
"212","HO793511.1.1233",0.943661971830986,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA,NA,"Chloroplast","Chloroplast"
"44","BABK02029359.1608.3968",0.929577464788732,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA,"Mitochondria","Mitochondria"
"173","GDAH01000844.40.1969",0.929577464788732,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA,"Mitochondria","Mitochondria"
"189","GQ495441.1.1492",0.929577464788732,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA,NA,"Chloroplast","Chloroplast"
"211","HO777920.18.1354",0.929577464788732,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Phaseolus acutifolius (tepary bean)","Phaseolus acutifolius (tepary bean)","Phaseolus acutifolius (tepary bean)","Chloroplast","Chloroplast"
"171","GCKC01172251.105.1539",0.901408450704225,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Gleditsia sinensis","Gleditsia sinensis","Mitochondria","Mitochondria"
"176","GEFP01046751.99.1466",0.901408450704225,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Arachis hypogaea (peanut)","Arachis hypogaea (peanut)","Mitochondria","Mitochondria"
"180","GEUY01004424.1.1233",0.901408450704225,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA,NA,"Chloroplast","Chloroplast"
"174","GDAH01000892.378.1918",0.887323943661972,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA,"Mitochondria","Mitochondria"
"265","KC554503.1.1517",0.887323943661972,"Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA,"Streptomycetaceae","Streptomyces"
"313","KU310670.382095.384029",0.887323943661972,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA,"Mitochondria","Mitochondria"
"210","HO777250.1592.3082",0.873239436619718,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Phaseolus acutifolius (tepary bean)","Phaseolus acutifolius (tepary bean)","Mitochondria","Mitochondria"
"34","AY357215.644.2502",0.830985915492958,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA,"Mitochondria","Mitochondria"
"332","KY646001.1.1573",0.788732394366197,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,"Bacillaceae","Bacillus"
"27","AMWY02006532.103.2040",0.774647887323944,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA,"Mitochondria","Mitochondria"
"63","CP018779.372609.374112",0.774647887323944,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ochrobactrum",NA,"Rhizobiaceae","Ochrobactrum"
"274","KF386162.398325.400260",0.71830985915493,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA,"Mitochondria","Mitochondria"
"276","KF625186.1.1741",0.647887323943662,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Raoultella","Raoultella ornithinolytica","Enterobacteriaceae","Raoultella"
"279","KF843326.1.1368",0.647887323943662,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","uncultured bacterium","uncultured bacterium","uncultured bacterium","Chloroplast","Chloroplast"
"88","EF528273.1.1512",0.591549295774648,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,"Bacillaceae","Bacillus"
"80","EF101305.1.1542",0.535211267605634,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Pseudomonadaceae","Pseudomonas"
"168","GBHK01015628.2.1871",0.507042253521127,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA,"Mitochondria","Mitochondria"
"284","KJ161326.1.1708",0.47887323943662,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Pseudomonadaceae","Pseudomonas"
"350","LT592136.1.1584",0.464788732394366,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","uncultured prokaryote","uncultured prokaryote","uncultured prokaryote","Chloroplast","Chloroplast"
"198","HAEP01038523.44.1571",0.450704225352113,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA,"Burkholderiaceae","f_Burkholderiaceae"
"188","GQ483458.1.1495",0.408450704225352,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",NA,"Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"73","DQ298777.1.1540",0.380281690140845,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",NA,"Xanthomonadaceae","Stenotrophomonas"
"130","FPID01000096.6.1486",0.366197183098592,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","metagenome","Pseudomonadaceae","Pseudomonas"
"299","KR026982.1.1447",0.366197183098592,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Pseudomonadaceae","Pseudomonas"
"339","LAVU01000228.149.1665",0.366197183098592,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae",NA,NA,"Micrococcaceae","f_Micrococcaceae"
"178","GEOZ01011695.30.1942",0.309859154929577,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Millettia pinnata","Millettia pinnata","Millettia pinnata","Chloroplast","Chloroplast"
"87","EF517956.1.1666",0.28169014084507,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter sp. IGCAR-9/07","Moraxellaceae","Acinetobacter"
"167","GBEF01033122.3018.4495",0.28169014084507,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA,NA,"Chloroplast","Chloroplast"
"247","JQ894900.1.1514",0.253521126760563,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Pseudomonadaceae","Pseudomonas"
"68","CTEN01000001.315310.316856",0.23943661971831,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA,"Streptococcaceae","Streptococcus"
"35","AY491594.1.1631",0.225352112676056,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","uncultured",NA,"Burkholderiaceae","uncultured"
"1","AB252903.1.1522",0.211267605633803,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Delftia",NA,"Burkholderiaceae","Delftia"
"214","HQ121200.1.1459",0.211267605633803,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae",NA,NA,"Caulobacteraceae","f_Caulobacteraceae"
"161","FR746074.1.1400",0.197183098591549,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Pseudomonadaceae","Pseudomonas"
"334","KY711182.1.1549",0.183098591549296,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Pseudomonadaceae","Pseudomonas"
"202","HE965803.1704687.1706220",0.169014084507042,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA,"Burkholderiaceae","f_Burkholderiaceae"
"217","HQ455824.1.1542",0.169014084507042,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Pantoea",NA,"Enterobacteriaceae","Pantoea"
"351","LT605585.1090822.1092349",0.169014084507042,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Brucella",NA,"Rhizobiaceae","Brucella"
"227","JN082536.1.1536",0.154929577464789,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA,"Moraxellaceae","Acinetobacter"
"59","CP011077.121006.122560",0.140845070422535,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA,"Enterobacteriaceae","f_Enterobacteriaceae"
"203","HF570082.1.1509",0.140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium",NA,"Beijerinckiaceae","Methylobacterium"
"342","LKHO01000001.198.1803",0.140845070422535,"Bacteria","Firmicutes","Bacilli","Bacillales","Listeriaceae","Listeria","Listeria monocytogenes","Listeriaceae","Listeria"
"13","ABRA01002618.192.1704",0.126760563380282,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",NA,"Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"19","AF284578.1.1549",0.126760563380282,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA,"Streptococcaceae","Streptococcus"
"20","AGCT01052662.3515.5439",0.126760563380282,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA,"Mitochondria","Mitochondria"
"107","FJ184334.1.1511",0.126760563380282,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",NA,"Xanthomonadaceae","Stenotrophomonas"
"220","HQ682006.1.1451",0.126760563380282,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas","uncultured bacterium","Caulobacteraceae","Brevundimonas"
"250","JRJC01000023.11.1813",0.126760563380282,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Enterobacter",NA,"Enterobacteriaceae","Enterobacter"
"283","KJ013374.1.1531",0.126760563380282,"Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA,"Streptomycetaceae","Streptomyces"
"321","KX279643.1.1537",0.126760563380282,"Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA,"Streptomycetaceae","Streptomyces"
"23","AJ429238.1.1465",0.112676056338028,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA,"Sphingomonadaceae","Sphingomonas"
"204","HG780372.1.1269",0.112676056338028,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas stutzeri","Pseudomonadaceae","Pseudomonas"
"288","KM105816.1.1391",0.112676056338028,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella",NA,"Enterobacteriaceae","Escherichia-Shigella"
"69","CVJT01000011.50.2173",0.0985915492957746,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","Staphylococcus aureus","Staphylococcaceae","Staphylococcus"
"181","GEXO01005455.1.1513",0.0985915492957746,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","Malaclemys terrapin terrapin","Enterobacteriaceae","Escherichia-Shigella"
"251","JUOP01000215.81.1657",0.0985915492957746,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","Enterococcus faecalis","Enterococcaceae","Enterococcus"
"269","KF026285.1.1556",0.0985915492957746,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas aeruginosa","Pseudomonadaceae","Pseudomonas"
"336","KY777463.1.1542",0.0985915492957746,"Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Micrococcus","Micrococcus luteus","Micrococcaceae","Micrococcus"
"4","AB362767.1.1576",0.0845070422535211,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Lactobacillus fermentum","Lactobacillaceae","Lactobacillus"
"32","AY030334.1.1514",0.0845070422535211,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,"Bacillaceae","Bacillus"
"38","AY773134.1.1507",0.0845070422535211,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Comamonas",NA,"Burkholderiaceae","Comamonas"
"52","CATO01000049.63.1649",0.0845070422535211,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Salmonella",NA,"Enterobacteriaceae","Salmonella"
"83","EF364387.1.1474",0.0845070422535211,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Bosea",NA,"Beijerinckiaceae","Bosea"
"93","EU196762.1.1499",0.0845070422535211,"Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA,"Streptomycetaceae","Streptomyces"
"157","FPLS01033822.31.1498",0.0845070422535211,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae",NA,NA,"Rhizobiaceae","f_Rhizobiaceae"
"164","GAJR01016305.1169.2580",0.0845070422535211,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast",NA,NA,NA,"Chloroplast","Chloroplast"
"234","JN695913.1.1530",0.0845070422535211,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium","Methylobacterium radiotolerans","Beijerinckiaceae","Methylobacterium"
"241","JOGX01000016.105867.107365",0.0845070422535211,"Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA,"Streptomycetaceae","Streptomyces"
"11","AB696297.1.1439",0.0704225352112676,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","uncultured bacterium","Enterobacteriaceae","Escherichia-Shigella"
"29","AOKA01000137.3650.5241",0.0704225352112676,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Pseudomonadaceae","Pseudomonas"
"48","BBPC01190614.7148.8812",0.0704225352112676,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Pseudomonadaceae","Pseudomonas"
"79","EF064168.1.1513",0.0704225352112676,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Aquabacterium","uncultured bacterium","Burkholderiaceae","Aquabacterium"
"147","FPLS01006697.30.1498",0.0704225352112676,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium",NA,"Xanthobacteraceae","Bradyrhizobium"
"295","KP096372.1.1487",0.0704225352112676,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus subtilis","Bacillaceae","Bacillus"
"296","KP232906.1.1565",0.0704225352112676,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,"Bacillaceae","Bacillus"
"302","KR088380.1.1569",0.0704225352112676,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas","Aeromonas salmonicida","Aeromonadaceae","Aeromonas"
"340","LGUW01000207.343.1894",0.0704225352112676,"Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA,"Streptomycetaceae","Streptomyces"
"71","DQ234192.1.1572",0.0563380281690141,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Pseudomonadaceae","Pseudomonas"
"100","EU771744.1.1413",0.0563380281690141,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","uncultured bacterium","Enterobacteriaceae","Escherichia-Shigella"
"163","FWXU01000054.357.1845",0.0563380281690141,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",NA,"Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"166","GAYR01026362.62.2014",0.0563380281690141,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria","Solanum melongena (eggplant)","Solanum melongena (eggplant)","Mitochondria","Mitochondria"
"213","HQ121087.1.1522",0.0563380281690141,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA,"Burkholderiaceae","f_Burkholderiaceae"
"237","JN868813.1.1537",0.0563380281690141,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",NA,"Xanthomonadaceae","Stenotrophomonas"
"242","JQ516481.1.1429",0.0563380281690141,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella",NA,"Enterobacteriaceae","Escherichia-Shigella"
"248","JQ975872.1.1501",0.0563380281690141,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","uncultured bacterium","Xanthomonadaceae","Stenotrophomonas"
"255","JX898179.1.1548",0.0563380281690141,"Bacteria","Acidobacteria","Subgroup 6","uncultured Acidobacteria bacterium","uncultured Acidobacteria bacterium","uncultured Acidobacteria bacterium","uncultured Acidobacteria bacterium","uncultured Acidobacteria bacterium","uncultured Acidobacteria bacterium"
"261","KC541303.1.1536",0.0563380281690141,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Polaromonas","uncultured bacterium","Burkholderiaceae","Polaromonas"
"266","KC620696.1.1489",0.0563380281690141,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium","uncultured bacterium","Beijerinckiaceae","Methylobacterium"
"278","KF843170.1.1368",0.0563380281690141,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","uncultured bacterium","Enterobacteriaceae","Escherichia-Shigella"
"290","KM232740.1.1520",0.0563380281690141,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","uncultured bacterium","Flavobacteriaceae","Flavobacterium"
"297","KP717091.1.1227",0.0563380281690141,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA,"Moraxellaceae","Acinetobacter"
"345","LNNI01000005.225118.226745",0.0563380281690141,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Pseudomonadaceae","Pseudomonas"
"15","ADHG01000001.652476.654027",0.0422535211267606,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","uncultured bacterium","Lactobacillaceae","Lactobacillus"
"30","APQB01000020.493579.495105",0.0422535211267606,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter",NA,"Moraxellaceae","Acinetobacter"
"43","AYZN01000032.115.1658",0.0422535211267606,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","uncultured bacterium","Lactobacillaceae","Lactobacillus"
"57","CP007799.5360909.5362333",0.0422535211267606,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella",NA,"Enterobacteriaceae","Escherichia-Shigella"
"70","DQ071483.1.1508",0.0422535211267606,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella",NA,"Enterobacteriaceae","Escherichia-Shigella"
"86","EF517948.1.1687",0.0422535211267606,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,"Bacillaceae","Bacillus"
"120","FJ901047.1.1308",0.0422535211267606,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","uncultured bacterium","Pseudomonadaceae","Pseudomonas"
"121","FJ957467.1.1521",0.0422535211267606,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus",NA,"Staphylococcaceae","Staphylococcus"
"126","FN430384.1.1490",0.0422535211267606,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus cereus","Bacillaceae","Bacillus"
"179","GEUY01000836.1.1611",0.0422535211267606,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Rhizobacter","uncultured bacterium","Burkholderiaceae","Rhizobacter"
"187","GQ451285.1.1488",0.0422535211267606,"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter",NA,"Sphingobacteriaceae","Pedobacter"
"191","GQ853416.1.1513",0.0422535211267606,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Pantoea",NA,"Enterobacteriaceae","Pantoea"
"225","JF808983.1.1512",0.0422535211267606,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Mitsuaria",NA,"Burkholderiaceae","Mitsuaria"
"238","JN868839.1.1481",0.0422535211267606,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas",NA,"Caulobacteraceae","Brevundimonas"
