"","OTUID","Occ.bio.nc.unfil","Domain","Phyllum","Class","Order","Family","Genus","Species","Family.ed","Genus.ed"
"239","JN868968.1.1503",0.0422535211267606,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","uncultured bacterium","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"257","KC171995.1.1449",0.0422535211267606,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,"Bacillaceae","Bacillus"
"262","KC554087.1.1566",0.0422535211267606,"Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia","uncultured bacterium","Pseudonocardiaceae","Pseudonocardia"
"285","KJ548930.1.1501",0.0422535211267606,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","uncultured bacterium","Moraxellaceae","Acinetobacter"
"320","KX146486.1.1489",0.0422535211267606,"Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Arachidicoccus",NA,"Chitinophagaceae","Arachidicoccus"
"343","LMOH01000001.656692.658176",0.0422535211267606,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Aureimonas",NA,"Rhizobiaceae","Aureimonas"
"5","AB365066.1.1533",0.028169014084507,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","uncultured bacterium","Moraxellaceae","Acinetobacter"
"16","AF025370.1.1525",0.028169014084507,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella",NA,"Enterobacteriaceae","Escherichia-Shigella"
"36","AY491606.1.1607",0.028169014084507,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","uncultured","uncultured bacterium","Burkholderiaceae","f_Burkholderiaceae"
"40","AY923146.1.1555",0.028169014084507,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Granulicatella",NA,"Carnobacteriaceae","Granulicatella"
"45","BAYE01000050.208.1722",0.028169014084507,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia",NA,"Burkholderiaceae","Burkholderia-Caballeronia-Paraburkholderia"
"55","CP002568.631832.633307",0.028169014084507,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Stappiaceae",NA,NA,"Stappiaceae","f_Stappiaceae"
"56","CP006941.13451.15024",0.028169014084507,"Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus",NA,"Paenibacillaceae","Paenibacillus"
"64","CP019158.175094.176630",0.028169014084507,"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium",NA,"Sphingobacteriaceae","Sphingobacterium"
"67","CRKN01000054.4139.5702",0.028169014084507,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Streptococcus pneumoniae","Streptococcaceae","Streptococcus"
"77","DQ819169.1.1447",0.028169014084507,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","uncultured bacterium","Enterobacteriaceae","Escherichia-Shigella"
"90","EU132775.1.1340",0.028169014084507,"Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter","uncultured bacterium","Solirubrobacteraceae","Solirubrobacter"
"99","EU771597.1.1411",0.028169014084507,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","uncultured bacterium","Enterobacteriaceae","Escherichia-Shigella"
"104","EU834246.1.1456",0.028169014084507,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",NA,"Xanthomonadaceae","Stenotrophomonas"
"111","FJ439860.1.1500",0.028169014084507,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium","uncultured bacterium","Xanthobacteraceae","Bradyrhizobium"
"125","FN421556.1.1367",0.028169014084507,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA,"Sphingomonadaceae","Sphingomonas"
"131","FPLK01000415.18.1468",0.028169014084507,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacter",NA,"Rhodobacteraceae","Rhodobacter"
"137","FPLL01008779.14.1515",0.028169014084507,"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","uncultured",NA,"Sphingobacteriaceae","f_Sphingobacteriaceae"
"141","FPLN01008255.16.1537",0.028169014084507,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","metagenome","Enterobacteriaceae","Escherichia-Shigella"
"143","FPLP01004968.7.1504",0.028169014084507,"Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides",NA,"Nocardioidaceae","Nocardioides"
"145","FPLS01000908.14.1501",0.028169014084507,"Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter","metagenome","Spirosomaceae","Dyadobacter"
"159","FPLS01042637.11.1526",0.028169014084507,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Curvibacter",NA,"Burkholderiaceae","Curvibacter"
"170","GBTV01025760.129.1889",0.028169014084507,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","Azolla filiculoides","Azolla filiculoides","Azolla filiculoides","Azolla filiculoides","Chloroplast"
"200","HAFQ01034884.73.1567",0.028169014084507,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Spumella sp. AR4D6","Pseudomonadaceae","Pseudomonas"
"207","HK555632.10.1532",0.028169014084507,"Bacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",NA,"Bifidobacteriaceae","Bifidobacterium"
"208","HK555801.1.1387",0.028169014084507,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA,NA,"Enterobacteriaceae","f_Enterobacteriaceae"
"216","HQ218547.1.1480",0.028169014084507,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Kaistiaceae","Kaistia","uncultured bacterium","Kaistiaceae","Kaistia"
"228","JN178192.1.1482",0.028169014084507,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium","uncultured bacterium","Hyphomicrobiaceae","Hyphomicrobium"
"244","JQ740188.1.1388",0.028169014084507,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","Rhizobium etli","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"253","JX437066.1.1490",0.028169014084507,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus pumilus","Bacillaceae","Bacillus"
"263","KC554190.1.1550",0.028169014084507,"Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides","uncultured bacterium","Nocardioidaceae","Nocardioides"
"267","KC683027.1.1557",0.028169014084507,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Carnobacteriaceae","Trichococcus","Trichococcus collinsii","Carnobacteriaceae","Trichococcus"
"280","KF928782.1.1516",0.028169014084507,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Salmonella",NA,"Enterobacteriaceae","Salmonella"
"306","KR676539.1.1475",0.028169014084507,"Bacteria","Actinobacteria","Actinobacteria","Streptomycetales","Streptomycetaceae","Streptomyces",NA,"Streptomycetaceae","Streptomyces"
"312","KU057031.1.1483",0.028169014084507,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Serratia",NA,"Enterobacteriaceae","Serratia"
"317","KU588112.1.1213",0.028169014084507,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas",NA,"Pseudomonadaceae","Pseudomonas"
"322","KX431268.1.1495",0.028169014084507,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Curvibacter","uncultured bacterium","Burkholderiaceae","Curvibacter"
"335","KY777444.1.1555",0.028169014084507,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus",NA,"Bacillaceae","Bacillus"
"354","MVOD01000011.1.1496",0.028169014084507,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Rhodopseudomonas",NA,"Xanthobacteraceae","Rhodopseudomonas"
"2","AB257635.1.1477",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Aureimonas",NA,"Rhizobiaceae","Aureimonas"
"3","AB286567.1.1458",0.0140845070422535,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium","uncultured bacterium","Haliangiaceae","Haliangium"
"6","AB374378.1.1507",0.0140845070422535,"Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Trueperaceae","Truepera","uncultured endolithic bacterium","Trueperaceae","Truepera"
"7","AB479055.1.1550",0.0140845070422535,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Opitutaceae","IMCC26134",NA,"Opitutaceae","IMCC26134"
"8","AB511008.1.1436",0.0140845070422535,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","uncultured bacterium","Bdellovibrionaceae","Bdellovibrio"
"9","AB630448.1.1379",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","SWB02","uncultured bacterium","Hyphomonadaceae","SWB02"
"12","AB696344.1.1371",0.0140845070422535,"Bacteria","Cyanobacteria","Oxyphotobacteria","Chloroplast","uncultured bacterium","uncultured bacterium","uncultured bacterium","Chloroplast","Chloroplast"
"14","ACHB01000006.3599.5109",0.0140845070422535,"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Sphingobacterium",NA,"Sphingobacteriaceae","Sphingobacterium"
"17","AF060676.1.1515",0.0140845070422535,"Bacteria","Actinobacteria","Actinobacteria","Kineosporiales","Kineosporiaceae",NA,NA,"Kineosporiaceae","f_Kineosporiaceae"
"18","AF125876.1.1529",0.0140845070422535,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae",NA,NA,"Burkholderiaceae","f_Burkholderiaceae"
"24","AJ440990.1.1550",0.0140845070422535,"Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Planococcus",NA,"Planococcaceae","Planococcus"
"25","AJ867748.1.1481",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","uncultured","uncultured bacterium","Acetobacteraceae","f_Acetobacteraceae"
"26","AM110959.1.1536",0.0140845070422535,"Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas",NA,"Pseudoalteromonadaceae","Pseudoalteromonas"
"28","ANAM01000008.400257.401788",0.0140845070422535,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Salinicoccus",NA,"Staphylococcaceae","Salinicoccus"
"31","ASRV01000251.33.1558",0.0140845070422535,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae 1","Clostridium sensu stricto 1",NA,"Clostridiaceae 1","Clostridium sensu stricto 1"
"33","AY212636.1.1538",0.0140845070422535,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter","uncultured bacterium","Xanthomonadaceae","Lysobacter"
"41","AYOD01000070.271.1739",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Mesorhizobium",NA,"Rhizobiaceae","Mesorhizobium"
"42","AYSH01000012.3236.4783",0.0140845070422535,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Vagococcus",NA,"Enterococcaceae","Vagococcus"
"46","BBFW01000391.24.1543",0.0140845070422535,"Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Nocardia",NA,"Nocardiaceae","Nocardia"
"47","BBHE01000968.162.1691",0.0140845070422535,"Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Mycobacteriaceae","Mycobacterium",NA,"Mycobacteriaceae","Mycobacterium"
"49","BBPI01000114.335.1824",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA,"Sphingomonadaceae","Sphingomonas"
"50","BDEO01000021.506.2023",0.0140845070422535,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas",NA,"Halomonadaceae","Halomonas"
"51","CAIC01015143.682.2534",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA,NA,"Mitochondria","Mitochondria"
"54","CP002551.1544045.1545529",0.0140845070422535,"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobacterium",NA,"Methanobacteriaceae","Methanobacterium"
"58","CP010525.1943855.1945668",0.0140845070422535,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus coagulans","Bacillaceae","Bacillus"
"60","CP011502.954642.956169",0.0140845070422535,"Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Aeromicrobium",NA,"Nocardioidaceae","Aeromicrobium"
"61","CP014226.105426.106962",0.0140845070422535,"Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Halomonas",NA,"Halomonadaceae","Halomonas"
"62","CP015378.146768.148325",0.0140845070422535,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Fictibacillus",NA,"Bacillaceae","Fictibacillus"
"72","DQ234824.1.1479",0.0140845070422535,"Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae","Desmonostoc PCC-7422",NA,"Cyanobacteria","Cyanobacteria"
"74","DQ450748.1.1393",0.0140845070422535,"Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Parafilimonas","uncultured Bacteroidetes bacterium","Chitinophagaceae","Parafilimonas"
"75","DQ532277.1.1514",0.0140845070422535,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter","uncultured bacterium","Xanthomonadaceae","Lysobacter"
"76","DQ532357.1.1511",0.0140845070422535,"Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Blastocatellales","Blastocatellaceae","Aridibacter","uncultured bacterium","Blastocatellaceae","Aridibacter"
"78","DQ870740.1.1288",0.0140845070422535,"Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus","uncultured bacterium","Staphylococcaceae","Staphylococcus"
"81","EF101975.1.1548",0.0140845070422535,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Xanthomonas",NA,"Xanthomonadaceae","Xanthomonas"
"82","EF174207.1.1483",0.0140845070422535,"Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae","Nostoc PCC-73102",NA,"Cyanobacteria","Cyanobacteria"
"84","EF462370.1.1394",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales","Inquilinaceae","Inquilinus",NA,"Inquilinaceae","Inquilinus"
"85","EF515919.1.1425",0.0140845070422535,"Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Spirosoma",NA,"Spirosomaceae","Spirosoma"
"89","EF530679.1.1498",0.0140845070422535,"Bacteria","Dependentiae","Babeliae","Babeliales","UBA12409","uncultured bacterium","uncultured bacterium","UBA12409","UBA12409"
"91","EU133748.1.1389",0.0140845070422535,"Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","uncultured","uncultured bacterium","Microscillaceae","f_Microscillaceae"
"92","EU134538.1.1464",0.0140845070422535,"Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae",NA,NA,"Polyangiaceae","f_Polyangiaceae"
"94","EU458616.1.1401",0.0140845070422535,"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae RC9 gut group","uncultured bacterium","Rikenellaceae","Rikenellaceae RC9 gut group"
"98","EU669180.1.1551",0.0140845070422535,"Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus",NA,"Paenibacillaceae","Paenibacillus"
"105","EU881176.1.1524",0.0140845070422535,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Candidatus Udaeobacter",NA,"Chthoniobacteraceae","Candidatus Udaeobacter"
"106","FJ184323.1.1507",0.0140845070422535,"Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",NA,"Xanthomonadaceae","Stenotrophomonas"
"108","FJ192534.1.1444",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA,"Sphingomonadaceae","Sphingomonas"
"109","FJ230800.1.1485",0.0140845070422535,"Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Phormidiaceae",NA,NA,"Cyanobacteria","Cyanobacteria"
"110","FJ429181.1.1484",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA,"Sphingomonadaceae","Sphingomonas"
"112","FJ466213.1.1328",0.0140845070422535,"Bacteria","Bacteroidetes","Ignavibacteria","OPB56","uncultured bacterium","uncultured bacterium","uncultured bacterium","OPB56","OPB56"
"113","FJ542862.1.1481",0.0140845070422535,"Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","uncultured bacterium","Bdellovibrionaceae","Bdellovibrio"
"114","FJ560597.1.1476",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",NA,"Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"115","FJ624893.1.1487",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Roseiarcus","uncultured bacterium","Beijerinckiaceae","Roseiarcus"
"116","FJ625353.1.1523",0.0140845070422535,"Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","uncultured","uncultured bacterium","Chitinophagaceae","f_Chitinophagaceae"
"117","FJ625358.1.1509",0.0140845070422535,"Bacteria","Actinobacteria","Actinobacteria","Frankiales","Acidothermaceae","Acidothermus","uncultured bacterium","Acidothermaceae","Acidothermus"
"119","FJ820431.1.1504",0.0140845070422535,"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","uncultured bacterium","Flavobacteriaceae","Flavobacterium"
"124","FLTE01001368.534.2052",0.0140845070422535,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Janthinobacterium",NA,"Burkholderiaceae","Janthinobacterium"
"128","FNKD01000009.1.1593",0.0140845070422535,"Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Virgibacillus",NA,"Bacillaceae","Virgibacillus"
"129","FOXQ01000003.275613.277143",0.0140845070422535,"Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Parafilimonas",NA,"Chitinophagaceae","Parafilimonas"
"132","FPLL01000633.14.1519",0.0140845070422535,"Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Marmoricola",NA,"Nocardioidaceae","Marmoricola"
"133","FPLL01000940.11.1474",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae",NA,NA,"Devosiaceae","f_Devosiaceae"
"134","FPLL01002138.3.1535",0.0140845070422535,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","uncultured bacterium","uncultured bacterium","Pedosphaeraceae","f_Pedosphaeraceae"
"135","FPLL01004674.9.1542",0.0140845070422535,"Bacteria","Acidobacteria","Subgroup 17","uncultured bacterium","uncultured bacterium","uncultured bacterium","uncultured bacterium","Subgroup 17","Subgroup 17"
"136","FPLL01005221.15.1433",0.0140845070422535,"Bacteria","Chlamydiae","Chlamydiae","Chlamydiales","cvE6","metagenome","metagenome","cvE6","cvE6"
"138","FPLM01003312.11.1536",0.0140845070422535,"Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae",NA,NA,"Solirubrobacteraceae","f_Solirubrobacteraceae"
"139","FPLN01001151.8.1523",0.0140845070422535,"Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA,"p_Gammaproteobacteria","p_Gammaproteobacteria"
"140","FPLN01005715.1.1458",0.0140845070422535,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia-Shigella","metagenome","Enterobacteriaceae","Escherichia-Shigella"
"144","FPLS01000417.8.1471",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia","metagenome","Devosiaceae","Devosia"
"146","FPLS01006063.9.1545",0.0140845070422535,"Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Opitutaceae","IMCC26134",NA,"Opitutaceae","IMCC26134"
"148","FPLS01013598.11.1522",0.0140845070422535,"Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","uncultured","metagenome","Solirubrobacteraceae","f_Solirubrobacteraceae"
"149","FPLS01015607.17.1527",0.0140845070422535,"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Verticia",NA,"Burkholderiaceae","Verticia"
"150","FPLS01016483.13.1519",0.0140845070422535,"Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia",NA,"Pseudonocardiaceae","Pseudonocardia"
"151","FPLS01016786.18.1481",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae",NA,NA,"Devosiaceae","f_Devosiaceae"
"152","FPLS01021120.11.1480",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","uncultured","uncultured bacterium","Xanthobacteraceae","f_Xanthobacteraceae"
"153","FPLS01027059.10.1473",0.0140845070422535,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Devosia",NA,"Devosiaceae","Devosia"
