sample_id,cultivar,rep,rep_loc,location,treatment,sample_type,batch
1001r2,R99,1,MSU1,MSU,shelter,experimental,1
1002r2,R99,1,MSU1,MSU,open,experimental,1
1003r2,B18504,1,MSU1,MSU,shelter,experimental,4
1004r2,B18504,1,MSU1,MSU,open,experimental,4
1005r2,Cayenne,1,MSU1,MSU,shelter,experimental,4
1006r2,Cayenne,1,MSU1,MSU,open,experimental,4
1007r2,Rosetta,1,MSU1,MSU,shelter,experimental,7
1008r2,Rosetta,1,MSU1,MSU,open,experimental,7
101r2,B18504,1,UPREC1,UPREC,shelter,experimental,6
102r2,B18504,1,UPREC1,UPREC,open,experimental,6
103r2,Rosetta,1,UPREC1,UPREC,shelter,experimental,7
104r2,Rosetta,1,UPREC1,UPREC,open,experimental,7
105r2,R99,1,UPREC1,UPREC,shelter,experimental,6
106r2,R99,1,UPREC1,UPREC,open,experimental,6
107r2,Cayenne,1,UPREC1,UPREC,shelter,experimental,4
108r2,Cayenne,1,UPREC1,UPREC,open,experimental,4
2001r2,Rosetta,2,MSU2,MSU,shelter,experimental,7
2002r2,Rosetta,2,MSU2,MSU,open,experimental,7
2003r2,Cayenne,2,MSU2,MSU,shelter,experimental,6
2004r2,Cayenne,2,MSU2,MSU,open,experimental,6
2005r2,B18504,2,MSU2,MSU,shelter,experimental,6
2006r2,B18504,2,MSU2,MSU,open,experimental,6
2007r2,R99,2,MSU2,MSU,shelter,experimental,6
2008r2,R99,2,MSU2,MSU,open,experimental,6
201r2,B18504,2,UPREC2,UPREC,shelter,experimental,5
202r2,B18504,2,UPREC2,UPREC,open,experimental,5
203r2,Rosetta,2,UPREC2,UPREC,shelter,experimental,5
204r2,Rosetta,2,UPREC2,UPREC,open,experimental,5
205r2,R99,2,UPREC2,UPREC,shelter,experimental,5
206r2,R99,2,UPREC2,UPREC,open,experimental,5
207r2,Cayenne,2,UPREC2,UPREC,shelter,experimental,6
208r2,Cayenne,2,UPREC2,UPREC,open,experimental,6
3001r2,B18504,3,MSU3,MSU,shelter,experimental,5
3002r2,B18504,3,MSU3,MSU,open,experimental,5
3003r2,R99,3,MSU3,MSU,shelter,experimental,5
3004r2,R99,3,MSU3,MSU,open,experimental,5
3005r2,Rosetta,3,MSU3,MSU,shelter,experimental,5
3006r2,Rosetta,3,MSU3,MSU,open,experimental,5
3007r2,Cayenne,3,MSU3,MSU,shelter,experimental,4
3008r2,Cayenne,3,MSU3,MSU,open,experimental,4
301r2,B18504,3,UPREC3,UPREC,shelter,experimental,4
302r2,B18504,3,UPREC3,UPREC,open,experimental,4
303r2,Cayenne,3,UPREC3,UPREC,shelter,experimental,4
304r2,Cayenne,3,UPREC3,UPREC,open,experimental,4
305r2,R99,3,UPREC3,UPREC,shelter,experimental,7
306r2,R99,3,UPREC3,UPREC,open,experimental,7
307r2,Rosetta,3,UPREC3,UPREC,shelter,experimental,7
308r2,Rosetta,3,UPREC3,UPREC,open,experimental,7
4001r2,Cayenne,4,MSU4,MSU,shelter,experimental,3
4002r2,Cayenne,4,MSU4,MSU,open,experimental,3
4003r2,Rosetta,4,MSU4,MSU,shelter,experimental,3
4004r2,Rosetta,4,MSU4,MSU,open,experimental,3
4005r2,R99,4,MSU4,MSU,shelter,experimental,7
4006r2,R99,4,MSU4,MSU,open,experimental,7
4007r2,B18504,4,MSU4,MSU,shelter,experimental,2
4008r2,B18504,4,MSU4,MSU,open,experimental,2
401r2,Rosetta,4,UPREC4,UPREC,shelter,experimental,3
402r2,Rosetta,4,UPREC4,UPREC,open,experimental,7
403r2,R99,4,UPREC4,UPREC,shelter,experimental,1
404r2,R99,4,UPREC4,UPREC,open,experimental,1
405r2,Cayenne,4,UPREC4,UPREC,shelter,experimental,3
406r2,Cayenne,4,UPREC4,UPREC,open,experimental,3
407r2,B18504,4,UPREC4,UPREC,shelter,experimental,2
408r2,B18504,4,UPREC4,UPREC,open,experimental,2
Mock1r2,positive_control,positive_control,positive_control,positive_control,positive_control,positive_control,1
Mock2r2,positive_control,positive_control,positive_control,positive_control,positive_control,positive_control,2
Mock3r2,positive_control,positive_control,positive_control,positive_control,positive_control,positive_control,3
Mock4r2,positive_control,positive_control,positive_control,positive_control,positive_control,positive_control,4
Mock5r2,positive_control,positive_control,positive_control,positive_control,positive_control,positive_control,5
Mock6r2,positive_control,positive_control,positive_control,positive_control,positive_control,positive_control,6
Mock7r2,positive_control,positive_control,positive_control,positive_control,positive_control,positive_control,7
NC1r2,negative_control,negative_control,negative_control,negative_control,negative_control,negative_control,1
NC2r2,negative_control,negative_control,negative_control,negative_control,negative_control,negative_control,2
NC3r2,negative_control,negative_control,negative_control,negative_control,negative_control,negative_control,3
NC4r2,negative_control,negative_control,negative_control,negative_control,negative_control,negative_control,4
NC5r2,negative_control,negative_control,negative_control,negative_control,negative_control,negative_control,5
NC6r2,negative_control,negative_control,negative_control,negative_control,negative_control,negative_control,6
NC7r2,negative_control,negative_control,negative_control,negative_control,negative_control,negative_control,7
RTSFNTCr2,RTSF_NC,RTSF_NC,RTSF_NC,RTSF_NC,RTSF_NC,RTSF_NC,NA
RTSF_ZymoMockDNAr2,RTSF_mock,RTSF_mock,RTSF_mock,RTSF_mock,RTSF_mock,RTSF_mock,NA