,ZOTUID,NC1,NC2,NC3,NC4,NC5,NC6,NC7,Domain,Phyllum,Class,Order,Family,Genus,Species
1,ZOTU103,0,0,0,0,6,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
2,ZOTU106,1,0,0,0,0,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
3,ZOTU108,0,0,0,0,0,0,17,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,f_Comamonadaceae,NA
4,ZOTU11,0,0,680,0,0,5516,8574,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
5,ZOTU12,4,0,0,0,0,0,0,Bacteria,Firmicutes,Bacilli,Lactobacillales,Listeriaceae,Listeria,NA
6,ZOTU120,0,0,0,0,0,0,10,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA
7,ZOTU14,7,0,0,0,0,0,0,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,NA
8,ZOTU15,1,0,0,0,0,0,0,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_fermentum
9,ZOTU16,0,0,61,0,0,1685,2850,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
10,ZOTU17,0,0,76,0,0,1017,1490,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium,NA
11,ZOTU18,0,0,0,0,0,998,1210,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,NA
12,ZOTU19,0,0,179,0,0,641,822,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,NA
13,ZOTU21,0,0,23,0,0,448,620,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
14,ZOTU22,0,0,22,1,0,125,692,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas_nitritireducens
15,ZOTU23,0,0,41,0,0,0,55,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylobacterium-Methylorubrum,NA
16,ZOTU26,0,0,0,1,0,303,513,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,f_Comamonadaceae,NA
17,ZOTU27,0,0,20,0,0,173,507,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA
18,ZOTU28,0,0,0,0,0,176,452,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,f_Alcaligenaceae,NA
19,ZOTU3,821,23,548,65,0,119,4607,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,NA
20,ZOTU32,152,14,221,48,25,50,55,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,f_Comamonadaceae,NA
21,ZOTU33,0,0,0,0,0,166,348,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,NA
22,ZOTU34,0,0,90,0,0,153,266,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,NA
23,ZOTU36,0,0,0,0,0,385,0,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,NA
24,ZOTU37,4,0,0,0,0,0,0,Eukaryota,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcaceae,Cryptococcus,NA
25,ZOTU38,0,0,0,0,0,124,239,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas_diminuta
26,ZOTU39,0,0,15,0,0,255,119,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
27,ZOTU4,286,594,452,185,127,184,1572,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia-Shigella,NA
28,ZOTU40,0,0,0,0,0,189,204,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,NA
29,ZOTU44,0,0,0,0,0,151,59,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,NA
30,ZOTU47,0,0,42,0,43,0,46,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Micrococcaceae,f_Micrococcaceae,NA
31,ZOTU48,0,0,0,0,0,170,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Stappiaceae,Pannonibacter,NA
32,ZOTU49,0,0,66,0,0,0,111,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Haoranjiania,Haoranjiania_flava
33,ZOTU5,482,124,68,1,0,0,68,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,NA
34,ZOTU50,0,0,32,0,0,0,121,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium_lindanitolerans
35,ZOTU52,0,0,0,0,0,141,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
36,ZOTU53,0,0,0,0,0,0,121,Bacteria,Cyanobacteria,Vampirivibrionia,Obscuribacterales,Obscuribacteraceae,Candidatus_Obscuribacter,uncultured_bacterium
37,ZOTU55,0,0,0,0,0,39,64,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ochrobactrum,NA
38,ZOTU56,0,0,0,0,0,0,124,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,f_Rhizobiaceae,NA
39,ZOTU57,0,0,9,0,0,36,38,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,NA
40,ZOTU58,0,67,0,0,0,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
41,ZOTU59,0,0,0,0,0,0,77,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,NA
42,ZOTU6,2,47,267,1,0,0,2166,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ochrobactrum,NA
43,ZOTU60,0,0,0,0,0,0,55,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Bosea,NA
44,ZOTU61,0,0,0,0,0,0,54,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
45,ZOTU62,0,0,0,0,0,0,61,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_peli
46,ZOTU63,0,0,0,0,0,81,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Kaistiaceae,Kaistia,uncultured_bacterium
47,ZOTU65,68,0,0,0,0,0,0,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_RC9_gut_group,uncultured_bacterium
48,ZOTU66,0,0,0,0,0,0,66,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,NA
49,ZOTU67,1,0,0,0,0,0,0,Bacteria,Actinobacteriota,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,NA
50,ZOTU68,0,0,0,0,0,0,59,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,f_Carnobacteriaceae,NA
51,ZOTU69,40,0,0,0,0,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,f_Comamonadaceae,NA
52,ZOTU7,5,0,163,0,0,0,1185,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,NA
53,ZOTU70,0,0,0,0,0,39,0,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,NA
54,ZOTU71,0,0,49,0,0,0,0,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,NA
55,ZOTU74,0,0,43,0,0,0,0,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,NA
56,ZOTU75,0,0,0,0,0,30,13,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Enhydrobacter,NA
57,ZOTU76,0,0,0,0,0,0,50,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Schlegelella,NA
58,ZOTU78,0,0,0,0,0,44,6,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,f_Comamonadaceae,NA
59,ZOTU79,0,0,0,0,0,42,0,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,NA
60,ZOTU8,91,0,228,0,0,0,552,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,f_Enterobacteriaceae,NA
61,ZOTU80,0,0,0,0,29,0,0,Bacteria,Deinococcota,Deinococci,Deinococcales,Trueperaceae,Truepera,NA
62,ZOTU84,0,0,0,0,0,25,0,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,NA
63,ZOTU86,0,0,0,0,0,0,25,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,f_Comamonadaceae,NA
64,ZOTU87,0,0,0,0,0,0,19,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Schlegelella,NA
65,ZOTU88,0,38,0,0,0,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Microvirga,NA
66,ZOTU9,45,0,22,0,0,220,1135,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,NA
67,ZOTU91,0,0,0,0,0,0,26,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Schlegelella,NA
68,ZOTU96,0,0,0,0,15,0,0,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Bradyrhizobium,NA
69,ZOTU97,0,0,0,0,0,11,0,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,NA